,x1,x2,x3,x4,x5,split
4934,0.1629162919656303,0.04000400000000004,0.9961996200000001,0.7779777999999999,0.0,-0.38626024364225614
5921,0.057705770573124315,0.11491149111111121,0.14271427333333353,0.9771977199999999,0.0,-0.6017395811579239
2872,0.8764876490388875,0.5642564266666666,0.03840383999999997,0.00020001999999996745,0.0,-0.16839218563694722
3704,0.18561856143148192,0.03150315111111113,0.04380438000000009,0.9721972200000002,0.0,2.047975687276403
2354,0.06090609061918684,0.07280728000000014,0.07240723999999998,0.9516951666666666,0.0,-1.0670700860301296
3082,0.02730273026840291,0.4328432844444442,0.1965196533333331,0.033703373333333286,0.0,-1.1909065843481628
166,0.43074307467446205,0.6631663155555557,0.7328732866666665,0.32713271333333327,1.0,-0.8601764797048636
6512,0.9710971095756931,0.6818681866666666,0.649564953333333,0.5968596866666667,0.0,-1.1488984981079982
1150,0.44314431481973604,0.08850885111111106,0.021002100000000024,0.2538253799999999,0.0,0.7577149127179582
3148,0.52775277526796,0.4840484044444445,0.6192619266666664,0.48894889333333325,1.0,0.6462484117161161
5858,0.8164816485073967,0.5437543755555555,0.3334333466666668,0.45244524666666663,0.0,2.1806010041942234
517,0.027902790238285125,0.8953895399999999,0.8764876466666669,0.8860886066666669,0.0,1.0447588989351015
4521,0.8097809779431306,0.7129712977777777,0.9039904000000001,0.5622562266666666,1.0,-0.16465232586026235
5222,0.47314731508548147,0.47224722444444434,0.8400840066666668,0.7035703599999998,1.0,0.8227094837205554
7296,0.3134313429001683,0.3005300533333334,0.3886388666666667,0.46654665333333334,1.0,0.19194563407718895
4233,0.6645664567277882,0.7117711777777777,0.8654865466666668,0.36963696666666657,1.0,-0.7137023499599642
9745,0.4220422039153158,0.9740974088888891,0.9037903800000002,0.8217821799999998,0.0,-0.7575456097748298
4193,0.7891789175303394,0.8258825888888889,0.37583758666666656,0.4925492533333333,1.0,1.004822395499235
755,0.87888788909558,0.4967496755555555,0.6617661733333335,0.8711871200000001,0.0,-0.2919449230130792
7300,0.18431843210204624,0.21782178222222237,0.6357635733333336,0.77637764,1.0,-0.09367992735160227
6086,0.05480548055629375,0.11771177111111131,0.8044804466666671,0.5554555466666666,1.0,0.3381155285224784
8380,0.9827982797413413,0.6310631066666667,0.5045504533333331,0.5769576933333331,0.0,-0.82515466722568
2480,0.688268827176898,0.7827782777777778,0.7816781666666666,0.6834683466666664,1.0,-1.1033046226364123
2609,0.5927592762866507,0.5607560755555557,0.973497346666667,0.6732673266666664,1.0,1.135761014188578
4817,0.5897589759943309,0.97259726,0.12741274000000002,0.1911191133333332,1.0,-1.0215096352499216
285,0.4027402737177783,0.22972297333333336,0.36183618666666684,0.11921191999999992,0.0,2.049494888123595
7859,0.5733573354592967,0.8592859288888887,0.6216621666666668,0.3796379666666667,1.0,0.21367967074501565
7306,0.29292929311719385,0.032603260000000134,0.49894989333333317,0.18071807333333323,0.0,-1.2478074649676958
1893,0.9483948392240236,0.27012701333333344,0.39623962666666657,0.3319331933333334,0.0,-0.2315950005422913
8091,0.5482548250509347,0.7567756777777778,0.9947994800000002,0.6045604533333333,1.0,1.6390874871263348
4860,0.23032303215519534,0.12471247111111128,0.26672667333333333,0.28512851333333333,0.0,-1.1465588261683446
9782,0.12651265125343247,0.9751975199999999,0.6550655066666669,0.69997,0.0,-2.0959999425791302
8322,0.8851885189122157,0.8142814288888888,0.2123212333333333,0.23522352000000002,0.0,-1.0653050203151937
4354,0.9291929196563029,0.5824582466666669,0.6411641133333337,0.7009700999999999,0.0,0.6785181732616618
2514,0.7379737975019931,0.16621662222222233,0.43914391333333347,0.9393939400000002,0.0,0.11104317214871458
5759,0.004000400035432783,0.5252525244444445,0.28672867333333363,0.3919391933333334,0.0,0.7956206759068594
4906,0.7151715174063247,0.6212621266666666,0.7175717600000002,0.5913591333333332,1.0,0.17923412210829556
3283,0.2800280024802906,0.5280528044444445,0.6382638266666665,0.6160616066666667,1.0,-1.964740255528209
8004,0.8083808379838782,0.6265626555555556,0.7256725666666668,0.9029903000000001,0.0,-0.09201581063746772
5380,0.09730973097705742,0.40994099333333345,0.6485648533333332,0.6513651333333332,0.0,1.0962989183934257
4662,0.1900190016830544,0.10201020000000005,0.05670567333333354,0.18211821333333322,0.0,-1.1766536526236946
9894,0.6317631765435381,0.27662766222222224,0.7404740466666668,0.33263326000000004,0.0,-0.39629157224630446
6470,0.5785578554344939,0.11001100000000008,0.4740474066666671,0.7729773,0.0,0.7970820644348744
8751,0.024102410222340387,0.7622762266666666,0.04150415333333335,0.29882988,0.0,-0.3591774978334497
183,0.44834483479493303,0.5023502355555555,0.40064006666666696,0.8326832666666668,1.0,-0.5778913225833254
3842,0.6045604561962974,0.5932593266666667,0.8948894866666666,0.2585258533333332,1.0,-1.7411536094672764
9044,0.12361236123660213,0.4313431333333334,0.18051805333333304,0.08590859333333334,1.0,0.7441124570100786
683,0.8052805279475594,0.5142514244444444,0.4079407933333332,0.18131813333333324,0.0,-0.5388751934052519
1903,0.2036203622995837,0.7041704177777778,0.4266426666666665,0.7298729866666667,0.0,-1.302971452040854
9437,0.3905390539463196,0.7584758466666665,0.18781878000000019,0.26282627999999997,1.0,0.6667988413020465
5680,0.5469546957214988,0.8396839688888887,0.9716971666666665,0.9895989599999999,1.0,-1.2758096344716299
1242,0.38063806360173635,0.7192719266666666,0.6206620666666667,0.6124612466666666,1.0,1.7869520276991435
688,0.3443344335193552,0.0976097600000001,0.35453545333333336,0.6077607733333334,0.0,0.6915355240398721
8437,0.7434743475950041,0.9068906888888887,0.35933593333333347,0.7764776466666665,1.0,-0.42162278768183453
3026,0.12111211117016563,0.21952195111111106,0.5142514266666667,0.96439644,1.0,-0.3367748199373994
2850,0.13111311134732928,0.7255725577777777,0.9886988666666667,0.31373137333333323,0.0,0.8690575017198784
9872,0.7025702568872354,0.7017701777777777,0.3373337333333333,0.8294829466666667,0.0,0.36200108296931843
8545,0.6228622862963948,0.08440844000000003,0.0800080000000003,0.1639163933333333,0.0,-0.36100811757257034
5629,0.6452645265302508,0.11351135111111121,0.899289926666667,0.5033503333333333,0.0,2.0030727676262456
6397,0.28452845247586134,0.7675767577777776,0.71417142,0.5306530666666667,0.0,0.24869911805081227
4550,0.06850685065107642,0.6780678066666667,0.7312731266666668,0.2287228733333333,0.0,-0.8292309975910732
8747,0.03550355035875641,0.19481948222222234,0.9619961999999997,0.22432243333333324,0.0,-2.304732221748332
3798,0.900990099211622,0.9759976,0.41934193333333303,0.022002199999999972,1.0,-0.4062057560676354
8900,0.575557556027992,0.3846384644444444,0.07520751999999975,0.7841784199999999,0.0,0.40586282131170875
4159,0.6130613056958101,0.46634663555555556,0.5617561733333334,0.7410741066666666,0.0,-1.238134569540751
1327,0.7814781477544512,0.8514851488888889,0.06880688000000035,0.47334733333333334,0.0,2.060017001575095
