,x1,x2,x3,x4,x5,x6,x7,x8,split
1919,0.3023139335521341,0.3833952409390933,0.3222644507419332,0.13161845862971377,0.6692601123229103,0.1373627468497411,1.0,0.4602026298717963,2.069356951939549
3169,0.192727637217456,0.4255596818369929,0.5573114652440108,0.6648984052494052,0.06809779090285484,0.38724511994179317,0.0,0.5357897647637504,-1.7760820543118692
1199,0.43844535670163487,0.2623230606465532,0.8843768761459732,0.9679711743771956,0.9764844250443867,0.044676462202215286,1.0,0.9569015160007961,0.8063445210978012
1004,0.6381849143520917,0.8094568815211729,0.9410882213699803,0.6658993060501178,0.22534211296983697,0.6782260596334685,0.0,0.4100303851415248,0.9910803192059991
1481,0.20464790119940524,0.3073988546815769,0.5079015835970475,0.7763987611207973,0.3821454480051014,0.16516759407468118,1.0,0.7169948133475952,0.05274051411228227
2687,0.19673444825971542,0.43047886772376454,0.026305264210491508,0.22320087855891746,0.4077999983682328,0.19507620619895866,1.0,0.43729600185653794,-0.6390158297945933
2650,0.49163578036334643,0.43429374570976464,0.8011602333721406,0.3267941147686775,0.6934261339430303,0.19260813683951733,1.0,0.5510153356680387,-0.04372170030113959
1502,0.09175598511161609,0.10902519940955413,0.3937787564593629,0.7634871374556021,0.6893776255239856,0.008952924274271995,1.0,0.7980730433773058,0.14622261255742836
2034,0.4979465092410278,0.960345346135435,0.1337267477911359,0.24251826734867366,0.23409119517129473,0.5923242889520239,0.0,0.22070515843834926,0.621267188508523
1427,0.3191425424138885,0.702640297913161,0.3996799399897317,0.5253728336300642,0.04388120647643623,0.5918866463519142,0.0,0.3389138386408632,1.022885234298732
2333,0.8007612942843492,0.9190844300864116,0.4447889581596689,0.20668601868316128,0.7676304677891508,0.4202341353821446,1.0,0.33104154862210144,-1.3829313637753902
671,0.3678253030985348,0.8046380882756989,0.17603520586772303,0.2653388056049216,0.13174512521338144,0.561958665397084,0.0,0.24846537620242515,1.1461162028044576
732,0.3770409691167973,0.8702941462452853,0.32006401066858725,0.32188969750918317,0.004560899376175209,0.72533412356096,0.0,0.18459088507353272,-1.2607175568952855
185,0.37764199108366947,0.6240337319810128,0.44068814135664436,0.4324892393239316,0.2701581195243261,0.41989685431442797,0.0,0.4133817142549603,0.4120026570642262
1366,0.15876990851051154,0.30920590214862975,0.41418283713948556,0.47783004893221637,0.29911202665246783,0.19161286560778873,0.0,0.5679679030582854,-0.10075935461516505
2124,0.3600120201909107,0.5114948302786497,0.09741948324725147,0.9301371241102582,0.6996954170087999,0.15671302206300392,1.0,0.7221290598158809,-1.3365687452203974
1520,0.4090954618910594,0.4769601453527512,0.47739547924653136,0.5936342682386656,0.6287467647593028,0.19817050084030513,1.0,0.617146749052786,0.30536182013649893
